,company,cons,pros,rating,title
2602,Google,lost in too many genius,super cool working place and great team,5.0,"""nice company"""
2603,Google,"Hard to make an impact, people who work there can be super arrogant","Good culture, smart people, good opportunity",4.0,"""Good Place to Work"""
2604,Google,We're getting so big that our ability to respond to market threats is slowing down. Also our internal tools are nearly and pretty and refined as external tools you see like Search and Maps.,Google is one of the best company's ever - the people make it the best place in the world. we far and away hire the funnest most inspiring people around the country.,5.0,"""Great Company"""
2605,Google,"As Google grows, it gets harder to find the resources to pursue entrepreneurial projects. Groups can be too territorial and that makes it hard to get some things done.","Google has a plethora of opportunities for anyone who enjoys challenges, ambiguity leading to disruptive market forces and incredible rewards, emotionally and financially.",5.0,"""Great company. Incredible people. Challenging projects."""
2606,Google,Too big a company; Things doing are too trivial.,Culture; We are changing the world.,4.0,"""Senior Software Engineer"""
2607,Google,Overstaffed at times... work spread to thin,Collaborative atmosphere with a great deal of respect to lower level team members,5.0,"""Excellent to employees"""
2608,Google,Hard to achieve work/life balance. Not enough advancement opportunities in remote offices. Centralized management and decision making makes it hard to start initiatives/projects in sattelite office.,"Opportunities to enjoy perks and get involved with side projects. If you are looking for distractions, there are plenty ;-)",4.0,"""Remote offices not same as HQ"""
2609,Google,No room for growth as a contractor with no possibility of conversion.,There is a lot to learn if you are new to the role in terms of Finance/Accounting.,5.0,"""Great place to work"""
2610,Google,- As a contractor it is difficult to convert to full-time. It is also not easy to get promoted. - Google tends to pay slightly less than its competitors,"Free food and nap pods aside, Google is an amazing place to work because of the PEOPLE. People here are smart and you know that you can count on them. Makes you wonder why you would want to work anywhere else.",5.0,"""Best Place to Work or a Reason :)"""
2611,Google,"Bloated, political. Promotions are like Game of Thrones. Complacent people don't get fired.","Good brand, deep pockets, pretty smart people.",3.0,"""Bureaucratic"""
2612,Google,None to share at the moment.,"Great work environment, with amazing people.",5.0,"""Administrative Business Partner"""
2613,Google,"Unfortunately I was working more than I planned. This is typical for most employees, and what is expected by the company. Still, I found the work compelling enough to stick with it for years.",This was a fun spot to work and I enjoyed every single minute. The people were friendly and there is a great team approach to all projects.,5.0,"""Great while it lasted"""
2614,Google,- Super Competitive - Too many tools - Sell too many products,- Great culture - Smart People - Awesome perks,5.0,"""Account Manager"""
2615,Google,Some difficulties within the dynamic,Brilliant opp for progression in the company,5.0,"""Great place to work"""
2616,Google,Its too big. Easy to get lost.,Work environment and work/life balance is great,4.0,"""Great company"""
2617,Google,These boss are damn irritating .. they get a good pay .. still they behave so rude..,"Good environment, Free international trips, best coffee served, female co-employers are so hot... if you are good enough you can have a really good time flirting with them and i don't need to tell you rest.",4.0,"""Data Analyst"""
2618,Google,"bureaucratic, political, incredibly difficult to move up","amazing benefits, international, super, duper",4.0,"""Co review"""
2619,Google,"Promotion process favors building new things, shipping, and design documents over incremental improvements, infrastructure projects, and individual contributions.","Awesome benefits you can read about anywhere, huge range of projects to work on, and good mobility between teams for when you get bored.",5.0,"""Satisfies Unrealistic Expectations"""
2620,Google,"Honestly there are no cons to working here, I absolutely loved it and would recommend it to anyone.",Very kind and friendly work environment. Google tries to make working fun and it sure is fun while there.,5.0,"""Software"""
2621,Google,Long hours to work for.,Good company to work for.,4.0,"""Nuclear"""
2622,Google,"Google seems to becoming more of a top down mgmt company. Many more rules and approvals are being put in place which hinders what is normally a lightning fast, get-it-done-now environment","Incredible team mates make working there inspiring, challenging and fun. Team member employees treated contractors such as myself with respect and were authentic and appreciative",4.0,"""Google Biz Apps - Hyperion Team"""
2623,Google,It's hard to have a work-life balance,"Amazing perks, competitive pay, cool work environment",5.0,"""Awesome company"""
2624,Google,"There's too much bureaucracy, it is not easy anymore for an engineer to drive a product/feature he is passionate about.","Internal mobility in the company is easy, and there is a huge variety of teams recruiting.",4.0,"""Good company to work for"""
2625,Google,A little too big for me and your experience as an intern incredibly dependent on host. Easy to lose motivation in my opinion if you feel your work is low impact,"So many great perks and a great, fun culture that does it's best to keep you happy",4.0,"""SWE Intern"""
2626,Google,"- not as clear as a focus on personal skill building, rather on 'what you launch'","+ product with high impact, with breadth of product across many domains + easy to move around within the company + very high-quality engineers + high transparency, openness, willingness to help other team, desire to do the right things",5.0,"""Product Manager"""
2627,Google,Slow feature development pace Low cross organization visiblity at times,Get to work with lots of smart people Large scale problems to work on,4.0,"""Great colleagues"""
2628,Google,"Because it was an internship there was pressure to perform well in a very short amount of time. Also it was very independent work, which might not be for everyone.","My team was filled with smart, motivated people across many disciplines. We also had access to amazing resources. It was an engineers playground.",5.0,"""Surpassed already high expectations"""
2629,Google,weird people but nice place to be,"good environment, people, ethics, all of that",4.0,"""IT specialist"""
2630,Google,weird people but nice place to be,"good environment, people, ethics, all of that",4.0,"""IT specialist"""
2631,Google,No overtime Atmosphere can be cutthroat,"Perks such as free food, great retirement options, very relaxed atmosphere",5.0,"""Google"""
2632,Google,Slow Pace Bureaucracy Still doesn't understand social,Great Perks Talented Engineers Relaxed Work Environment,5.0,"""SWE Intern"""
2633,Google,Not a huge amount thankfully.one might be is that there is lots of intelligent people can make it hard to shine at times.,Fantastic people.opportunity to learn. Allowed to innovate and challenge the status quo.,5.0,"""Great Company"""
